id	name	dimension	amount	unit	confidence	basis	flags
ing.algen	Algen	keine			0.98	Algen und Algenprodukte werden üblicherweise nach Gewicht bzw. Packung verkauft.	
ing.alkoholfreies.bier	Alkoholfreies Bier	keine			0.99	Flaschen- und Dosenware; Gebindegröße variiert.	
ing.anzuendholz	Anzündholz, Bund	piece			0.99	Nicht-Lebensmittel; Bundgewicht ist nicht sinnvoll als Stückgewicht festzulegen.	
ing.armbanduhr	Armbanduhr, Handelsware	piece			0.99	Handelsware ohne sinnvolles Stückgewicht für diese Schätzung.	
ing.aroma	Aroma und Lebensmittelfarbe	keine			0.98	Aromen und Farbstoffe sind keine einheitlichen Stückartikel.	
ing.autolack	Autolack	ml			0.99	Unzählbare Flüssigkeit; Gebindegröße ist produktabhängig.	
ing.autopflegemittel	Autopflegemittel	ml			0.99	Unzählbare Flüssigkeit; Gebindegröße ist produktabhängig.	
ing.avocado	Avocado	g	200	g	0.82	Eine typische Avocado wiegt etwa 200 g mit Schale und Kern.	
ing.ayran	Ayran	ml			0.99	Getränk wird nach Volumen verkauft; keine feste Stückgröße.	
ing.backfischportion	Backfischportion, je Stück	piece	150	g	0.78	Typische einzelne Backfisch- oder Fischfiletportion liegt bei etwa 150 g.	
ing.backmischung	Backmischung	g			0.99	Pulverförmige Ware wird nach Gewicht verkauft, nicht als Stück.	
ing.backtriebmittel	Backtriebmittel	g			0.99	Sammelbegriff für unterschiedliche, nach Gewicht bemessene Backzutaten.	
ing.baguette	Baguette	piece	250	g	1.00	Baguette 250 g laut Fixture-Rechnungen (fixtures/dataset/2025)	override
ing.baklava	Baklava	g			0.99	Süßware wird nach Gewicht verkauft; keine einheitliche Stückgröße.	
ing.bauelement	Bauelement (Tür, Fenster)	piece			0.99	Bauelemente haben stark unterschiedliche Maße und kein sinnvolles Stückgewicht.	
ing.bauholz	Bauholz	piece			0.99	Stark unterschiedliche Querschnitte und Längen; kein einheitliches Stückgewicht.	
ing.bauplatte	Bauplatte	piece			0.99	Plattenformate und Materialstärken variieren stark.	
ing.befestigungsmaterial	Befestigungsmaterial	piece			0.99	Sammelbegriff für verschiedenartige Befestigungsteile und Packungsgrößen.	
ing.betriebsfluessigkeit	Kfz-Betriebsflüssigkeit	ml			0.99	Flüssigkeiten werden nach Volumen bemessen; keine feste Stückgröße.	
ing.bienenwachs	Bienenwachs	g			0.99	Wachs wird nach Gewicht verkauft; keine einheitliche Stückgröße.	
ing.biermischgetraenk	Biermischgetränk	keine			0.99	Flaschen- und Dosenware; Gebindegröße variiert.	
ing.bilderrahmen	Bilderrahmen	piece			0.99	Nicht-Lebensmittel ohne sinnvolles Stückgewicht für diese Schätzung.	
ing.bindematerial	Binde- und Laminiermaterial	piece			0.99	Sammelbegriff für unterschiedliche Materialien und Formate.	
ing.blattsalat	Blattsalat	g	350	g	1.00	Kopfsalat, Lollo, Romana ca. 300–400 g; Eisberg eigene Zutat	override
ing.blondierpulver	Blondierpulver	g			0.99	Pulver wird nach Gewicht dosiert; keine feste Stückgröße.	
ing.bratwurst	Bratwurst	g	120	g	0.85	Eine übliche Bratwurst wiegt etwa 100–150 g; Ansatz 120 g.	
ing.braugerstenmalz	Braugerstenmalz	g			0.99	Schüttgut, das nach Gewicht bemessen wird.	
ing.brauhefe	Brau- und Weinhefe	g			0.99	Hefe wird nach Gewicht dosiert; keine feste Stückgröße.	
ing.brennholz	Brennholz und Pellets	g			0.99	Brennholz und Pellets werden nach Gewicht verkauft, nicht als Einzelstück.	
ing.brezel	Brezel	piece	90	g	1.00	Laugenbrezel 90 g laut Fixture-Rechnungen (fixtures/dataset/2025)	override
ing.brillenfassung	Brillenfassung	piece			0.99	Nicht-Lebensmittel ohne sinnvolles Stückgewicht für diese Schätzung.	
ing.broetchen	Brötchen	piece	60	g	1.00	Weizenbrötchen ca. 50–65 g	override
ing.brot	Brot	piece	750	g	0.72	Ein typischer Brotlaib im Handel wiegt etwa 750 g.	
ing.bruehepulver	Brühe- und Suppenkonzentrat	g			0.99	Konzentrat oder Pulver wird nach Gewicht dosiert; kein einheitliches Stück.	
ing.bruehwurst	Brühwurst	g			0.96	Sammelbegriff umfasst Stückwürste und Aufschnitt; kein einheitliches Stückgewicht.	null-split
ing.burgerbun	Burgerbrötchen	piece	80	g	0.82	Ein übliches Burgerbrötchen wiegt etwa 70–90 g.	
ing.burgerpatty.pflanzlich	Burgerpatty, pflanzlich	g			0.97	Wird im Rezept nach Gewicht bemessen; keine feste Stückgröße für den Sammelbegriff.	
ing.butter	Butter	g			0.99	Streichfett wird nach Gewicht verkauft und portioniert.	
ing.champagner	Champagner	ml			0.99	Getränk wird nach Volumen verkauft; Flaschengröße ist produktabhängig.	
ing.cola	Cola	keine			1.00	Flaschen und Dosen tragen ihre Füllmenge in der Bezeichnung	override
ing.dachziegel	Dachziegel	piece			0.99	Nicht-Lebensmittel ohne sinnvolles Stückgewicht für diese Schätzung.	
ing.daemmstoff	Dämmstoff	piece			0.99	Platten- und Dämmstoffformate variieren stark.	
ing.dekorationsmoos	Dekorationsmoos	g			0.99	Dekorationsmaterial wird nach Gewicht oder Gebinde verkauft, nicht stückweise.	
ing.dessert	Dessert, fertig	keine			0.91	Fertigdesserts gibt es in Einzelportionen und unterschiedlichen Gebindegrößen.	
ing.dessertpulver	Dessert- und Puddingpulver	keine			0.99	Pulverware wird nach Gewicht bzw. Packung verkauft.	
ing.diamant	Diamant	piece			0.99	Steine variieren stark im Gewicht; Stückzahl allein legt keine typische Größe fest.	
